country_name,Power Index Score,Aircraft Carriers_per_capita,Attack Aircraft_per_capita,Attack Helicopters_per_capita,Fighter Aircraft_per_capita,Helicopter Carriers_per_capita,Helicopters_per_capita,Special Mission Aircraft_per_capita,Tanker Aircraft_per_capita,Tanks_per_capita,Total Aircraft_per_capita,Trainer Aircraft_per_capita,Transport Aircraft_per_capita,Equipment_Total,Personnel_Total,Military_Spending_per_Capita
Turkmenistan,0.5778652770662758,0.0,1.584219916186062e-05,1.7409010067978703e-06,1.584219916186062e-05,0.0,1.584219916186062e-05,0.0,0.0,1.584219916186062e-05,1.584219916186062e-05,1.584219916186062e-05,1.584219916186062e-05,647.0,3650006.0,187.67261033482401
Republic of the Congo,0.33217220638857253,0.0,2.131963279064481e-06,1.6399717531265242e-07,2.131963279064481e-06,0.0,2.131963279064481e-06,0.0,0.0,2.131963279064481e-06,2.131963279064481e-06,2.131963279064481e-06,2.131963279064481e-06,92.0,850001.0,50.2487345157967
Democratic Republic of the Congo,1.203617821001165,0.0,3.986030591848942e-07,6.93222711625903e-08,3.986030591848942e-07,0.0,3.986030591848942e-07,0.0,0.0,3.986030591848942e-07,3.986030591848942e-07,3.986030591848942e-07,3.986030591848942e-07,330.0,19758001.0,6.902418539659116
Uganda,0.32498788738892603,,1.0348387179508927e-06,1.2174573152363443e-07,1.0348387179508927e-06,,1.0348387179508927e-06,0.0,0.0,1.0348387179508927e-06,1.0348387179508927e-06,1.0348387179508927e-06,1.0348387179508927e-06,363.0,4500001.0,19.99470730723156
Bolivia,0.6642102256398962,,5.1981911919086906e-06,0.0,5.1981911919086906e-06,,5.1981911919086906e-06,0.0,0.0,5.1981911919086906e-06,5.1981911919086906e-06,5.1981911919086906e-06,5.1981911919086906e-06,448.0,8000006.0,44.68819990294002
Zimbabwe,0.32531226853630324,,5.539244585811149e-06,3.498470264722831e-07,5.539244585811149e-06,,5.539244585811149e-06,0.0,0.0,5.539244585811149e-06,5.539244585811149e-06,5.539244585811149e-06,5.539244585811149e-06,671.0,2900002.0,30.94980027524798
Bahrain,0.37237758724941994,0.0,8.42433637609301e-05,2.1699048241451693e-05,8.42433637609301e-05,0.0,8.42433637609301e-05,0.0,0.0,8.42433637609301e-05,8.42433637609301e-05,8.42433637609301e-05,8.42433637609301e-05,958.0,12840082.0,1019.3447015072542
Latvia,0.29338497758389787,0.0,3.886196618231703e-06,0.0,3.886196618231703e-06,0.0,3.886196618231703e-06,0.0,0.0,3.886196618231703e-06,3.886196618231703e-06,3.886196618231703e-06,3.886196618231703e-06,49.0,5325030.0,631.7845359353826
Slovenia,0.1299376539429517,0.0,1.8590071757676986e-05,0.0,1.8590071757676986e-05,0.0,1.8590071757676986e-05,0.0,0.0,1.8590071757676986e-05,1.8590071757676986e-05,1.8590071757676986e-05,1.8590071757676986e-05,273.0,3330015.0,422.7382317695746
Georgia,0.3532648483304156,0.0,1.2446536006604418e-05,2.2444573126663706e-06,1.2446536006604418e-05,0.0,1.2446536006604418e-05,0.0,0.0,1.2446536006604418e-05,1.2446536006604418e-05,1.2446536006604418e-05,1.2446536006604418e-05,438.0,20750042.0,101.12893244224297
Armenia,0.2546120385612588,,2.385138771404941e-05,6.71870076452096e-06,2.385138771404941e-05,,2.385138771404941e-05,0.0,0.0,2.385138771404941e-05,2.385138771404941e-05,2.385138771404941e-05,2.385138771404941e-05,517.0,26750090.0,571.0895649842817
Estonia,0.23198912002109626,0.0,4.188334316195786e-06,0.0,4.188334316195786e-06,0.0,4.188334316195786e-06,0.0,0.0,4.188334316195786e-06,4.188334316195786e-06,4.188334316195786e-06,4.188334316195786e-06,35.0,8650072.0,1225.8081809896532
Ivory Coast,0.3262821043393728,0.0,6.337186553997716e-07,1.0006084032627973e-07,6.337186553997716e-07,0.0,6.337186553997716e-07,1.0006084032627973e-07,0.0,6.337186553997716e-07,6.337186553997716e-07,6.337186553997716e-07,6.337186553997716e-07,139.0,2200001.0,22.3336107464542
Zambia,0.4518945056897087,,3.7020802373485374e-06,0.0,3.7020802373485374e-06,,3.7020802373485374e-06,0.0,0.0,3.7020802373485374e-06,3.7020802373485374e-06,3.7020802373485374e-06,3.7020802373485374e-06,539.0,1515001.0,18.95465081522451
South Sudan,0.48914206772471786,,1.5743426233979588e-06,4.7230278701938764e-07,1.5743426233979588e-06,,1.5743426233979588e-06,0.0,0.0,1.5743426233979588e-06,1.5743426233979588e-06,1.5743426233979588e-06,1.5743426233979588e-06,146.0,18500015.0,13.79911309408311
Tanzania,0.5261537905718253,0.0,5.781021830294635e-07,0.0,5.781021830294635e-07,0.0,5.781021830294635e-07,0.0,0.0,5.781021830294635e-07,5.781021830294635e-07,5.781021830294635e-07,5.781021830294635e-07,273.0,10700001.0,20.85237303979261
Cambodia,0.4553336320526215,0.0,1.4651010011328161e-06,0.0,1.4651010011328161e-06,0.0,1.4651010011328161e-06,0.0,0.0,1.4651010011328161e-06,1.4651010011328161e-06,1.4651010011328161e-06,1.4651010011328161e-06,175.0,22100013.0,50.39947443896887
Afghanistan,0.4104113893349213,,2.2431833583311194e-07,2.492425953701244e-08,2.2431833583311194e-07,,2.2431833583311194e-07,0.0,0.0,2.2431833583311194e-07,2.2431833583311194e-07,2.2431833583311194e-07,2.2431833583311194e-07,64.0,0.0,7.228035265733607
Chad,0.5909900782240183,,2.0949432469399686e-06,1.5712074352049766e-07,2.0949432469399686e-06,,2.0949432469399686e-06,1.0474716234699844e-07,0.0,2.0949432469399686e-06,2.0949432469399686e-06,2.0949432469399686e-06,2.0949432469399686e-06,285.0,3325002.0,19.97266518051393
Burkina Faso,0.2663932991701486,,1.0849658452751907e-06,2.1699316905503816e-07,1.0849658452751907e-06,,1.0849658452751907e-06,8.679726762201527e-08,0.0,1.0849658452751907e-06,1.0849658452751907e-06,1.0849658452751907e-06,1.0849658452751907e-06,182.0,1200001.0,3.5274409561587
Senegal,0.25337420876005895,0.0,2.1222951348506328e-06,2.652868918563291e-07,2.1222951348506328e-06,0.0,2.1222951348506328e-06,5.305737837126582e-08,0.0,2.1222951348506328e-06,2.1222951348506328e-06,2.1222951348506328e-06,2.1222951348506328e-06,286.0,1700001.0,24.679639549394295
Mali,0.5723997814458832,,1.9553802241393236e-06,3.63791669607316e-07,1.9553802241393236e-06,,1.9553802241393236e-06,4.54739587009145e-08,0.0,1.9553802241393236e-06,1.9553802241393236e-06,1.9553802241393236e-06,1.9553802241393236e-06,310.0,4000002.0,29.57562610365298
Paraguay,0.39478783306245735,,5.184412200650045e-06,0.0,5.184412200650045e-06,,5.184412200650045e-06,1.3293364617051398e-07,0.0,5.184412200650045e-06,5.184412200650045e-06,5.184412200650045e-06,5.184412200650045e-06,274.0,18415024.0,2338.9675043701936
Afghanistan,0.4104113893349213,,2.2431833583311194e-07,2.492425953701244e-08,2.2431833583311194e-07,,2.2431833583311194e-07,0.0,0.0,2.2431833583311194e-07,2.2431833583311194e-07,2.2431833583311194e-07,2.2431833583311194e-07,64.0,0.0,7.228035265733607
Mozambique,0.4804078908673793,0.0,6.596512753532845e-07,5.99682977593895e-08,6.596512753532845e-07,0.0,6.596512753532845e-07,2.998414887969475e-08,0.0,6.596512753532845e-07,6.596512753532845e-07,6.596512753532845e-07,6.596512753532845e-07,157.0,1120000.0,12.365462997986114
Niger,0.4279410705770646,,9.869875185938009e-07,3.796105840745388e-08,9.869875185938009e-07,,9.869875185938009e-07,7.592211681490776e-08,0.0,9.869875185938009e-07,9.869875185938009e-07,9.869875185938009e-07,9.869875185938009e-07,185.0,2500001.0,12.770100048267485
North Macedonia,0.09866500810222367,,9.364948776071433e-06,1.8729897552142863e-06,9.364948776071433e-06,,9.364948776071433e-06,0.0,0.0,9.364948776071433e-06,9.364948776071433e-06,9.364948776071433e-06,9.364948776071433e-06,144.0,6900032.0,181.87746620072926
Afghanistan,0.4104113893349213,,2.2431833583311194e-07,2.492425953701244e-08,2.2431833583311194e-07,,2.2431833583311194e-07,0.0,0.0,2.2431833583311194e-07,2.2431833583311194e-07,2.2431833583311194e-07,2.2431833583311194e-07,64.0,0.0,7.228035265733607
Guatemala,0.29411882854744514,0.0,1.9720390067124375e-06,0.0,1.9720390067124375e-06,0.0,1.9720390067124375e-06,0.0,0.0,1.9720390067124375e-06,1.9720390067124375e-06,1.9720390067124375e-06,1.9720390067124375e-06,252.0,19611411.0,22.384559986331578
Honduras,0.37787786166522336,0.0,4.197628990253001e-06,0.0,4.197628990253001e-06,0.0,4.197628990253001e-06,1.0494072475632501e-07,0.0,4.197628990253001e-06,4.197628990253001e-06,4.197628990253001e-06,4.197628990253001e-06,281.0,11222511.0,43.407156684582496
Madagascar,0.18859345813108955,0.0,1.6976363639141587e-07,0.0,1.6976363639141587e-07,0.0,1.6976363639141587e-07,0.0,0.0,1.6976363639141587e-07,1.6976363639141587e-07,1.6976363639141587e-07,1.6976363639141587e-07,35.0,1350000.0,3.809835527896155
Dominican Republic,0.23551816701328887,0.0,7.304089976033339e-06,0.0,7.304089976033339e-06,0.0,7.304089976033339e-06,9.245683513966253e-08,0.0,7.304089976033339e-06,7.304089976033339e-06,7.304089976033339e-06,7.304089976033339e-06,554.0,5000005.0,74.96400193123837
Tajikistan,0.3268485866621248,,2.4052189788325337e-06,5.772525549198081e-07,2.4052189788325337e-06,,2.4052189788325337e-06,0.0,0.0,2.4052189788325337e-06,2.4052189788325337e-06,2.4052189788325337e-06,2.4052189788325337e-06,181.0,60950059.0,42.9091065823724
Kyrgyzstan,0.32683112856036356,,1.1341355019732337e-06,3.2403871484949535e-07,1.1341355019732337e-06,,1.1341355019732337e-06,0.0,0.0,1.1341355019732337e-06,1.1341355019732337e-06,1.1341355019732337e-06,1.1341355019732337e-06,51.0,32300053.0,35.935893476809035
El Salvador,0.13972181668989345,0.0,7.8446718762328e-06,0.0,7.8446718762328e-06,0.0,7.8446718762328e-06,0.0,0.0,7.8446718762328e-06,7.8446718762328e-06,7.8446718762328e-06,7.8446718762328e-06,364.0,3500006.0,50.48046352355808
Mongolia,0.6204749821697247,,2.1330557516781817e-06,0.0,2.1330557516781817e-06,,2.1330557516781817e-06,0.0,0.0,2.1330557516781817e-06,2.1330557516781817e-06,2.1330557516781817e-06,2.1330557516781817e-06,49.0,17000052.0,50.31269073708351
Nicaragua,0.18904388770721456,0.0,2.546073064209417e-06,0.0,2.546073064209417e-06,0.0,2.546073064209417e-06,0.0,0.0,2.546073064209417e-06,2.546073064209417e-06,2.546073064209417e-06,2.546073064209417e-06,119.0,4500007.0,13.778748347486255
Namibia,0.36556114787783506,0.0,1.2127001088933362e-05,7.133530052313743e-07,1.2127001088933362e-05,0.0,1.2127001088933362e-05,0.0,0.0,1.2127001088933362e-05,1.2127001088933362e-05,1.2127001088933362e-05,1.2127001088933362e-05,240.0,1300005.0,132.14864421911207
Botswana,0.2990195987378223,,1.8362332897669982e-05,0.0,1.8362332897669982e-05,,1.8362332897669982e-05,0.0,0.0,1.8362332897669982e-05,1.8362332897669982e-05,1.8362332897669982e-05,1.8362332897669982e-05,315.0,2100009.0,189.98893771455877
Afghanistan,0.4104113893349213,,2.2431833583311194e-07,2.492425953701244e-08,2.2431833583311194e-07,,2.2431833583311194e-07,0.0,0.0,2.2431833583311194e-07,2.2431833583311194e-07,2.2431833583311194e-07,2.2431833583311194e-07,64.0,0.0,7.228035265733607
Afghanistan,0.4104113893349213,,2.2431833583311194e-07,2.492425953701244e-08,2.2431833583311194e-07,,2.2431833583311194e-07,0.0,0.0,2.2431833583311194e-07,2.2431833583311194e-07,2.2431833583311194e-07,2.2431833583311194e-07,64.0,0.0,7.228035265733607
Albania,0.10594357053942065,0.0,6.115024905852755e-06,0.0,6.115024905852755e-06,0.0,6.115024905852755e-06,0.0,0.0,6.115024905852755e-06,6.115024905852755e-06,6.115024905852755e-06,6.115024905852755e-06,133.0,860003.0,179.8661903813233
Gabon,0.2573404646531875,0.0,9.775545332869538e-06,0.0,9.775545332869538e-06,0.0,9.775545332869538e-06,0.0,0.0,9.775545332869538e-06,9.775545332869538e-06,9.775545332869538e-06,9.775545332869538e-06,168.0,480002.0,111.9381403491336
Mauritania,0.37701393971116604,0.0,5.545233975371305e-06,0.0,5.545233975371305e-06,0.0,5.545233975371305e-06,4.6210283128094213e-07,0.0,5.545233975371305e-06,5.545233975371305e-06,5.545233975371305e-06,5.545233975371305e-06,170.0,9754022.0,60.36218233607306
Afghanistan,0.4104113893349213,,2.2431833583311194e-07,2.492425953701244e-08,2.2431833583311194e-07,,2.2431833583311194e-07,0.0,0.0,2.2431833583311194e-07,2.2431833583311194e-07,2.2431833583311194e-07,2.2431833583311194e-07,64.0,0.0,7.228035265733607
Moldova,0.14165557822362604,,8.334423753774452e-07,0.0,8.334423753774452e-07,,8.334423753774452e-07,0.0,0.0,8.334423753774452e-07,8.334423753774452e-07,8.334423753774452e-07,8.334423753774452e-07,21.0,7550021.0,475.06215396514375
Panama,0.9382800404746278,0.0,8.500658353619335e-06,0.0,8.500658353619335e-06,0.0,8.500658353619335e-06,4.474030712431229e-07,0.0,8.500658353619335e-06,8.500658353619335e-06,8.500658353619335e-06,8.500658353619335e-06,268.0,0.0,205.1794958751674
Laos,0.41661923953566155,,4.149087005977325e-06,0.0,4.149087005977325e-06,,4.149087005977325e-06,0.0,0.0,4.149087005977325e-06,4.149087005977325e-06,4.149087005977325e-06,4.149087005977325e-06,231.0,13000017.0,16.973537751725424
Luxembourg,0.24895390716592422,,1.4897468175283612e-06,0.0,1.4897468175283612e-06,,1.4897468175283612e-06,0.0,0.0,1.4897468175283612e-06,1.4897468175283612e-06,1.4897468175283612e-06,1.4897468175283612e-06,7.0,100001.0,1081.694624248609
Liberia,0.5392234402350561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150000.0,67.09273989608718
Montenegro,0.07186603866930498,0.0,1.833791781278653e-05,0.0,1.833791781278653e-05,0.0,1.833791781278653e-05,0.0,0.0,1.833791781278653e-05,1.833791781278653e-05,1.833791781278653e-05,1.833791781278653e-05,77.0,235004.0,246.89505709760775
Benin,0.15161080166912927,0.0,3.40204257275251e-07,0.0,3.40204257275251e-07,0.0,3.40204257275251e-07,0.0,0.0,3.40204257275251e-07,3.40204257275251e-07,3.40204257275251e-07,3.40204257275251e-07,35.0,475000.0,6.691817740604188
Somalia,0.2127842131763095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500001.0,13.136571451134854
Suriname,0.1467267413918991,0.0,4.638512954593596e-06,0.0,4.638512954593596e-06,0.0,4.638512954593596e-06,0.0,0.0,4.638512954593596e-06,4.638512954593596e-06,4.638512954593596e-06,4.638512954593596e-06,21.0,200003.0,222.64862182049265
Sierra Leone,0.15101345455267134,0.0,1.0963650018364114e-07,0.0,1.0963650018364114e-07,0.0,1.0963650018364114e-07,0.0,0.0,1.0963650018364114e-07,1.0963650018364114e-07,1.0963650018364114e-07,1.0963650018364114e-07,7.0,1300001.0,25.062903941980363
Central African Republic,0.3528651888823574,,1.0617668720949615e-06,0.0,1.0617668720949615e-06,,1.0617668720949615e-06,0.0,0.0,1.0617668720949615e-06,1.0617668720949615e-06,1.0617668720949615e-06,1.0617668720949615e-06,42.0,1000002.0,8.138443074607881
Afghanistan,0.4104113893349213,,2.2431833583311194e-07,2.492425953701244e-08,2.2431833583311194e-07,,2.2431833583311194e-07,0.0,0.0,2.2431833583311194e-07,2.2431833583311194e-07,2.2431833583311194e-07,2.2431833583311194e-07,64.0,0.0,7.228035265733607
