Country,Active Personnel,Aircraft Carriers,Airports,Armored Vehicles,Attack Aircraft,Attack Helicopters,Available Manpower,Coastline (km),Corvettes,Defense Budget (USD),Destroyers,External Debt (USD),Fighter Aircraft,Fit for Service,Foreign Exchange Reserves (USD),Frigates,Helicopter Carriers,Helicopters,Labor Force,Land Area (sq km),Merchant Marine Fleet,Mine Warfare,Natural Gas Production,Oil Consumption (bbl/day),Oil Production (bbl/day),Ports,Proven Oil Reserves (bbl),Purchasing Power Parity (USD),Railway Coverage (km),Reserve Personnel,Roadway Coverage (km),Rocket Projectors,Self-Propelled Artillery,Shared Borders (km),Special Mission Aircraft,Submarines,Tanker Aircraft,Tanks,Total Aircraft,Total Naval Assets,Total Population,Towed Artillery,Trainer Aircraft,Transport Aircraft,Waterways (km)
Spain,13328203,1,363,461,461,17,21748999460,4964,0,23397000000,0,2572738300000,461,17635602373,103089000000,11,0,461,24108000,505370,503,6,41009000,1269000,47000,52,150000000,2242000000000,15489,1515000,683175,461,95,1953,8,2,0,461,461,152,47280433,287,461,461,1000
Poland,20210005,0,288,479,479,29,18985692490,440,2,48700000000,0,386947000000,479,15576017402,193783000000,2,0,479,18387000,312685,152,26,5551000000,722000,24000,10,113000000,1616000000000,19461,35000009,420000,479,677,2845,11,1,0,479,479,62,38746310,0,479,479,3997
Saudi Arabia,25700007,0,86,917,917,34,19003104520,2640,9,74760000000,0,225610000000,917,17468238478,457949000000,7,0,917,16934000,2149690,433,3,121870000000,3649000,11113000,16,258600000000,1831000000000,5410,000,221372,917,332,4272,16,0,22,917,917,32,36544431,467,917,917,0
Taiwan,21500009,0,53,761,761,91,12269542520,1566,7,19740000000,4,209000000000,761,106178745,492635000000,22,0,761,11498000,35980,465,14,63747000,1022000,800,8,2380000,1257300000000,1613,231000098,43206,761,488,,18,4,0,761,761,97,23595274,1360,761,761,0
Vietnam,60000006,0,42,246,246,0,54994667520,3444,16,8594000000,0,110000000000,246,45053323426,97955500000,9,0,246,56149000,331210,1973,8,7676000000,494000,187000,16,4400000000,1354000000000,2600,500000047,195468,246,40,4616,3,9,0,246,246,110,105758975,535,246,246,47130
Thailand,36085005,0,108,493,493,7,36358919520,3219,6,5887883500,0,102694000000,493,27968399400,224470000000,7,1,493,40814000,513120,884,5,30797000000,1248000,386000,21,252750000,1516000000000,4127,20000003,180053,493,50,5673,26,0,0,493,493,293,69920998,589,493,493,4000
Algeria,32500007,0,85,608,608,74,22570787480,998,8,25000000000,0,3335624000,608,19185169408,81217000000,8,0,608,13425000,2381740,119,2,100726000000,428000,1443000,17,12200000000,699947000000,4020,13500003,104000,608,224,6734,10,6,5,608,608,110,47022473,483,608,608,0
Canada,6800002,0,1425,351,351,0,16681770430,202080,0,41000000000,0,2337375700000,351,13500595348,117551000000,12,0,351,22110000,9984670,716,0,187686000000,2454000,5692000,284,170300000000,2238000000000,4942,2700001,1042300,351,0,8893,33,4,6,351,351,73,38794813,0,351,351,636
Argentina,10800002,0,756,239,239,0,20677529440,4989,6,928897000,3,178940000000,239,17575900374,23081000000,0,0,239,21906000,2780400,201,0,43280000000,706000,807000,37,2483000000,1235000000000,17866,000,281290,239,55,11968,13,2,2,239,239,44,46994384,172,239,239,11000
Greece,14270014,0,81,558,558,29,4916713470,13676,0,6500000000,0,550000000000,558,3985676381,13608000000,13,0,558,4645000,131957,1215,7,3284000,303000,5000,57,10000000,375780000000,2345,22135021,117000,558,589,1110,8,10,0,558,558,192,10461091,698,558,558,6
North Korea,132000050,0,83,861,861,20,9467520360,2495,4,4736000000,0,5500000000,861,5312331202,5500000000,2,0,861,15837000,120538,264,1,0,17000,0,10,0,72000000000,7435,56000021,25554,861,1300,1607,0,13,0,861,861,207,26298666,700,861,861,2250
Singapore,5100008,0,9,230,230,18,3918498650,193,6,15000000000,0,1713410600000,230,2628408436,359835000000,6,0,230,3619000,719,3202,4,0,1470000,0,5,0,754758000000,0,25250042,3500,230,48,,9,6,11,230,230,50,6028459,89,230,230,0
Mexico,41200003,0,1485,433,433,0,61447766470,9330,3,7600000000,5,371359000000,433,49811912381,214317000000,1,0,433,60042000,1964375,674,0,31422000000,1737000,2101000,35,5786000000,2873000000000,23389,9865501,704884,433,20,4389,25,0,0,433,433,167,130739927,70,433,433,2900
Netherlands,4138002,0,45,120,120,12,7997570450,451,0,27000000000,0,4779954300000,120,6486918365,69830000000,6,0,120,9999000,41543,1187,4,17774000000,872000,70000,18,137747000,1240000000000,3055,676500,139124,120,46,1053,0,3,0,120,120,64,17772378,0,120,120,6237
Philippines,15000001,0,246,202,202,2,50859137430,36289,1,4380000000,0,90200000000,202,41751803353,103742000000,2,0,202,49477000,300000,2203,0,2251000000,453000,10000,70,138500000,1138000000000,77,120000010,216387,202,12,,8,0,0,202,202,113,118277063,294,202,202,3219
South Africa,7123501,0,575,182,182,10,27803618460,2798,0,2266800000,0,58773000000,182,14989776248,62492000000,4,0,182,25158000,1219090,110,2,59128000,601000,95000,8,15000000,862981000000,20986,2935000,750000,182,49,5244,0,3,0,182,182,49,60442647,134,182,182,0
Iraq,19300005,0,71,391,391,39,17675043420,58,2,7923000000,0,45032500000,391,14308368340,112233000000,0,0,391,11812000,438317,74,0,9860000000,918000,4437000,6,145019000000,572939000000,2272,000,59623,391,434,3809,17,0,0,391,391,68,42083436,610,391,391,5279
United Arab Emirates,6500006,0,42,551,551,30,5818684580,1318,11,2212360382,0,264000000000,551,4945881493,189491000000,0,0,551,6668000,83600,655,2,56683000000,939000,4146000,20,97800000000,719733000000,0,13000013,4080,551,165,1066,27,0,4,551,551,181,10032213,99,551,551,0
Sweden,2440002,0,203,169,169,0,4235934400,3218,7,13000000000,0,1002448700000,169,3558185336,60863000000,0,0,169,5825000,450295,361,8,0,283000,11000,92,0,676353000000,10910,3290003,573134,169,26,2211,5,4,1,169,169,308,10589835,0,169,169,2052
Switzerland,10158411,,62,146,146,0,3898653440,,,25039000000,,2200000000000,146,3163225357,863892000000,,,146,4991000,41277,17,,0,193000,300,0,0,733779000000,5296,4971506,71557,146,133,1770,3,,0,146,146,,8860574,0,146,146,1292
Romania,8130004,0,82,140,140,0,9437041520,225,7,9700000000,0,132000000000,140,7731114426,73000000000,3,0,140,8282000,238391,127,5,9501000000,221000,67000,11,600000000,772107000000,10628,5500003,84185,140,0,2844,2,0,0,140,140,20,18148155,720,140,140,1731
