Country,Active Personnel,Aircraft Carriers,Airports,Armored Vehicles,Attack Aircraft,Attack Helicopters,Available Manpower,Coastline (km),Corvettes,Defense Budget (USD),Destroyers,External Debt (USD),Fighter Aircraft,Fit for Service,Foreign Exchange Reserves (USD),Frigates,Helicopter Carriers,Helicopters,Labor Force,Land Area (sq km),Merchant Marine Fleet,Mine Warfare,Natural Gas Production,Oil Consumption (bbl/day),Oil Production (bbl/day),Ports,Proven Oil Reserves (bbl),Purchasing Power Parity (USD),Railway Coverage (km),Reserve Personnel,Roadway Coverage (km),Rocket Projectors,Self-Propelled Artillery,Shared Borders (km),Special Mission Aircraft,Submarines,Tanker Aircraft,Tanks,Total Aircraft,Total Naval Assets,Total Population,Towed Artillery,Trainer Aircraft,Transport Aircraft,Waterways (km)
Ghana,1550000,0,11,19,19,0,14873310430,539,0,308500000,0,22550000000,19,9961658288,3624000000,0,0,19,14887000,238533,52,0,3192000000,110000,174000,4,660000000,229639000000,947,000,65725,19,0,2420,2,0,0,19,19,28,34589092,6,19,19,1293
Cameroon,4000001,0,37,35,35,0,10528476340,400,0,554952283,0,9506000000,35,6224187201,5754093000,0,0,35,11965000,475440,198,0,2595000000,40000,54000,7,200000000,138925000000,987,000,77589,35,18,5018,2,0,0,35,35,51,30966105,52,35,35,0
Turkmenistan,3650006,0,23,91,91,10,2768681482,1768,0,1078020000,0,2134500000,91,2245963391,23415400000,0,0,91,2163000,488100,73,0,86472000000,152000,272000,0,600000000,94790000000,5113,000,58592,91,73,4158,0,0,0,91,91,16,5744151,450,91,91,1300
Republic of the Congo,850001,0,56,13,13,1,2256136370,169,0,306400000,0,5741000000,13,1353682222,715391000,0,0,13,2461000,342000,11,0,423000000,12000,267000,5,2885000000,38163000000,510,000,23324,13,2,5008,0,0,0,13,13,4,6097665,38,13,13,1120
Democratic Republic of the Congo,16658001,0,272,46,46,8,39237029340,37,0,796560000,0,4994000000,46,31389623272,3898125000,0,0,46,35983000,2344858,24,0,380000,26000,19000,3,180000000,154012000000,4007,3100000,152373,46,8,10481,0,0,0,46,46,16,115403027,60,46,46,15000
Uganda,4500001,,39,51,51,6,16756234340,,,985400000,,11818000000,51,9905891201,3506500000,,,51,18881000,241038,0,,0,43000,0,0,2500000000,135668000000,1244,000,20544,51,6,2729,0,,0,51,51,,49283041,26,51,51,0
Bolivia,4000003,,200,64,64,0,5417269440,,,550200000,,11431000000,64,4112199334,1800000000,,,64,6114000,1098581,50,,13760000000,87000,58000,0,240900000,119785000000,3690,4000003,90568,64,0,7252,0,,0,64,64,,12311974,106,64,64,10000
Zimbabwe,2900002,,144,95,95,6,6517134380,,,530800000,,11000000000,95,3721626217,115530000,,,95,6561000,390757,0,,0,29000,800,0,0,58583000000,3427,000,97267,95,0,3229,0,,0,95,95,,17150352,0,95,95,0
Bahrain,1840012,0,3,132,132,34,846120540,161,2,1597200000,0,49500000000,132,720768460,5118000000,2,0,132,855000,760,184,0,18005000000,72000,189000,4,186500000,85491000000,0,11000070,4122,132,38,,0,0,0,132,132,64,1566888,26,132,132,0
Latvia,1725010,0,56,7,7,0,810561450,498,0,1138000000,0,44180400000,7,648449360,4957000000,0,0,7,978000,64589,83,6,0,35000,2000,5,0,71154000000,2216,3600020,70244,7,47,1370,0,0,0,7,7,18,1801246,0,7,7,300
Slovenia,730003,0,42,39,39,0,1006989480,47,0,886860000,0,55000000000,39,826570394,2370000000,0,0,39,1055000,20273,8,0,3863000,45000,0,2,0,102036000000,1207,2600012,38985,39,0,1211,0,0,0,39,39,2,2097893,18,39,39,710
Georgia,5500011,0,19,61,61,11,2744538560,310,0,495629055,0,13488000000,61,2225036454,5002000000,0,0,61,1853000,69700,26,4,8760000,32000,300,3,35000000,83656000000,1363,15250031,20295,61,67,1814,0,0,0,61,61,19,4900961,121,61,61,0
Armenia,5750019,,11,71,71,20,1666988560,,,1700000000,,9014000000,71,1366335459,3607000000,,,71,1356000,29743,0,,0,14000,0,0,0,57728000000,686,21000071,7700,71,145,1570,0,,0,71,71,,2976765,148,71,71,0
Estonia,770006,0,26,5,5,0,584958490,3794,0,1463360000,0,26400000000,5,456028382,2593000000,0,0,5,752000,45228,72,4,0,28000,24000,20,0,57377000000,1441,7880066,58412,5,36,657,0,0,0,5,5,8,1193791,0,5,5,335
Ivory Coast,2200001,0,29,19,19,3,12292521410,515,0,669600935,0,19311500000,19,7855221262,7583484000,0,0,19,10954000,322463,25,0,2635000000,60000,29000,5,100000000,202758000000,660,000,81996,19,0,3458,3,0,0,19,19,3,29981758,2,19,19,980
Zambia,1515001,,119,77,77,0,7279691350,,,394240000,,13200000000,77,4139024199,2861000000,,,77,7051000,752618,2,,0,34000,0,0,0,76493000000,3126,000,67671,77,12,6043,0,,0,77,77,,20799116,30,77,77,0
South Sudan,18500015,,82,20,20,6,6351857500,,,175300000,,2475000000,20,4065188320,183615000,,,20,4471000,644329,0,,0,14000,146000,0,3750000000,20010000000,248,000,90200,20,24,6018,0,,0,20,20,,12703714,0,20,20,0
Tanzania,2700000,0,206,39,39,0,12143182180,1424,0,1406745334,0,18983500000,39,667875099,5693050000,0,0,39,31219000,947300,381,0,1808000000,58000,0,8,0,234050000000,4097,8000001,145203,39,0,4161,0,0,0,39,39,12,67462121,0,39,39,0
Cambodia,22100013,0,13,25,25,0,8190561480,443,0,860000000,0,13200000000,25,5733393336,17801000000,0,0,25,9175000,181035,195,0,0,73000,0,2,0,85900000000,642,000,47263,25,30,2530,0,0,0,25,25,20,17063669,430,25,25,3700
Afghanistan,000,,67,9,9,1,15647405390,,,290000000,,1142500000,9,8826741220,8852092000,,,9,8921000,652230,0,,80200000,2700,0,0,0,54772700000,0,000,34903,9,0,5987,0,,0,9,9,,40121552,0,9,9,1200
Chad,3325002,,42,40,40,3,6873694360,,,381350000,,2038000000,40,3856906202,211591000,,,40,5806000,1284000,0,,0,15000,124000,0,1500000000,32446000000,0,000,40000,40,10,6406,2,,0,40,40,,19093595,10,40,40,12400
Burkina Faso,1200001,,49,25,25,5,8525614370,,,81280000,,3145000000,25,6060098263,47138000,,,25,8577000,274200,0,,0,36000,0,0,0,57152000000,622,000,15304,25,0,3611,2,,0,25,25,,23042199,8,25,25,0
Senegal,1700001,0,19,40,40,5,7162057380,531,0,465150000,0,11326000000,40,4089912217,889295000,0,0,40,5257000,196722,36,0,54646000,55000,9000,6,0,77382000000,906,000,16665,40,0,2684,1,0,0,40,40,4,18847519,20,40,40,1000
Mali,4000002,,30,43,43,8,6817088310,,,650386000,,4057500000,43,4288168195,647800000,,,43,8277000,1240192,0,,0,46000,0,0,0,57235000000,593,000,139107,43,0,7908,1,,0,43,43,,21990607,10,43,43,1800
Paraguay,1565002,,83,39,39,0,3535598470,,,17595000000,,14370000000,39,3001497399,9886000000,,,39,3469000,406752,108,,0,57000,2000,1,0,108022000000,30,16850022,78811,39,0,4655,1,,0,39,39,,7522549,25,39,39,3100
Afghanistan,000,,67,9,9,1,15647405390,,,290000000,,1142500000,9,8826741220,8852092000,,,9,8921000,652230,0,,80200000,2700,0,0,0,54772700000,0,000,34903,9,0,5987,0,,0,9,9,,40121552,0,9,9,1200
Mozambique,1120000,0,92,22,22,2,14674420440,2470,0,412400000,0,12100000000,22,7770772233,3515000000,0,0,22,15191000,799380,36,0,5388000000,40000,0,11,0,50631000000,4787,000,31083,22,0,4783,1,0,0,22,22,33,33350954,52,22,22,460
Niger,2500001,,26,26,26,1,7902835300,,,336400000,,3844000000,26,5294900201,1442772000,,,26,10237000,1267000,0,,29509000,13000,6000,0,150000000,44561000000,0,000,18949,26,0,5834,2,,0,26,26,,26342784,0,26,26,300
North Macedonia,900004,,13,20,20,4,948216444,,,388421700,,11000000000,20,783773367,5015000000,,,20,801000,25713,0,,0,22000,0,0,0,42444000000,699,6000028,14182,20,0,838,0,,0,20,20,,2135622,150,20,20,0
Afghanistan,000,,67,9,9,1,15647405390,,,290000000,,1142500000,9,8826741220,8852092000,,,9,8921000,652230,0,,80200000,2700,0,0,0,54772700000,0,000,34903,9,0,5987,0,,0,9,9,,40121552,0,9,9,1200
Guatemala,10611406,0,58,36,36,0,7484639410,400,0,408635000,0,27500000000,36,6279794344,21311000000,0,0,36,7258000,108889,9,0,3276000,115000,6000,3,86110000,223183000000,800,9000005,17440,36,0,1667,0,0,0,36,36,25,18255216,50,36,36,990
Honduras,5222505,0,129,40,40,0,4192843440,832,0,413635000,0,8805500000,40,3144632330,7543000000,0,0,40,4676000,112090,489,0,0,67000,20,8,0,68854000000,699,6000006,14742,40,0,1575,1,0,0,40,40,98,9529188,32,40,40,465
Madagascar,1350000,0,91,5,5,0,11192031380,4828,0,112210000,0,3028500000,5,7952233270,2632000000,0,0,5,15830000,587040,29,0,0,19000,0,13,0,51255000000,836,000,31640,5,0,,0,0,0,5,5,6,29452714,9,5,5,600
Dominican Republic,5000005,0,32,79,79,0,4975294460,1288,0,810800000,0,27500000000,79,4034315373,15547000000,0,0,79,5302000,48320,40,0,0,134000,0,17,0,261616000000,496,000,19705,79,0,376,1,0,0,79,79,34,10815857,11,79,79,0
Tajikistan,950001,,19,25,25,6,4781269460,,,446000000,,7150000000,25,3773045363,2748900000,,,25,2677000,144100,0,,18476000,28000,300,0,12000000,46467000000,680,60000058,30000,25,3,4130,0,,0,25,25,,10394063,13,25,25,200
Kyrgyzstan,2300004,,28,7,7,2,3147772510,,,221800000,,6728500000,7,2487357403,3237000000,,,7,3069000,199951,0,,31026000,31000,6000,0,40000000,45461000000,424,30000049,34000,7,30,4573,0,,0,7,7,,6172101,169,7,7,576
El Salvador,2500004,0,27,52,52,0,3181777480,307,0,334620000,0,14258000000,52,2512278379,3799434000,0,0,52,2870000,21041,5,0,0,58000,3,3,0,71957000000,13,1000002,9012,52,0,590,0,0,0,52,52,14,6628702,76,52,52,422
Mongolia,3500011,,35,7,7,0,1870555570,,,165110000,,19542500000,7,1552233473,4782000000,,,7,1403000,1564116,318,,0,36000,15000,0,0,56264000000,1815,13500041,113200,7,0,8082,0,,0,7,7,,3281676,500,7,7,580
Nicaragua,4500007,0,39,17,17,0,3271705490,910,0,92000000,0,9053000000,17,2777610416,5447000000,0,0,17,3264000,130370,5,0,0,36000,200,5,0,51088000000,0,000,23897,17,0,1253,0,0,0,17,17,23,6676948,0,17,17,2220
Namibia,1300005,0,255,34,34,2,616805220,1572,2,370500000,0,8800000000,34,400923143,2956000000,0,0,34,989000,824292,15,0,0,25000,0,2,0,29944000000,2628,000,48875,34,0,4220,0,0,0,34,34,15,2803660,25,34,34,0
Botswana,2100009,,122,45,45,0,1029281420,,,465600000,,1853500000,45,617568252,4756000000,,,45,1170000,581730,0,,0,21000,0,0,0,46742000000,888,000,31747,45,12,4347,0,,0,45,45,,2450668,36,45,45,0
Afghanistan,000,,67,9,9,1,15647405390,,,290000000,,1142500000,9,8826741220,8852092000,,,9,8921000,652230,0,,80200000,2700,0,0,0,54772700000,0,000,34903,9,0,5987,0,,0,9,9,,40121552,0,9,9,1200
Afghanistan,000,,67,9,9,1,15647405390,,,290000000,,1142500000,9,8826741220,8852092000,,,9,8921000,652230,0,,80200000,2700,0,0,0,54772700000,0,000,34903,9,0,5987,0,,0,9,9,,40121552,0,9,9,1200
Albania,660002,0,3,19,19,0,1522479490,362,0,558862420,0,7312000000,19,1292554416,6455000000,0,0,19,1388000,28748,67,0,50623000,2600,1400,3,150000000,49592000000,424,200001,3945,19,0,691,0,0,0,19,19,19,3107100,50,19,19,41
Gabon,480002,0,40,24,24,0,932940380,885,0,274820000,0,6280000000,24,532758217,1568196000,0,0,24,763000,267667,87,0,463000000,16000,204000,9,2000000000,48201000000,649,000,14300,24,0,3261,0,0,0,24,24,5,2455105,0,24,24,1600
Mauritania,3154007,0,25,24,24,0,1687936390,754,0,261250000,0,3661000000,24,1181555273,2629290500,0,0,24,1179000,1030700,11,0,0,29000,0,2,20000000,30395000000,728,6600015,12253,24,0,5002,2,0,0,24,24,6,4328040,75,24,24,1086
Afghanistan,000,,67,9,9,1,15647405390,,,290000000,,1142500000,9,8826741220,8852092000,,,9,8921000,652230,0,,80200000,2700,0,0,0,54772700000,0,000,34903,9,0,5987,0,,0,9,9,,40121552,0,9,9,1200
Moldova,850002,,11,3,3,0,2159717600,,,1710000000,,4565500000,3,1792565498,5453000000,,,3,1464000,33851,75,,10000,22000,0,0,0,38969000000,1171,6700019,9352,3,9,1885,0,,0,3,3,,3599528,67,3,3,558
Panama,000,0,76,38,38,0,2011608450,2490,0,917202000,0,1115532300000,38,1206965270,6757000000,0,0,38,2096000,75420,8174,0,0,146000,0,12,0,159867000000,77,000,11978,38,0,687,2,0,0,38,38,30,4470241,0,38,38,800
Laos,10000013,,18,33,33,0,3499565440,,,135000000,,16500000000,33,2521277317,1770000000,,,33,3174000,236800,1,,0,24000,0,0,0,64173000000,422,3000004,39568,33,40,5274,0,,0,33,33,,7953556,87,33,33,4600
Luxembourg,100001,,3,1,1,0,154388230,,,726092925,,4730000000000,1,92633138,2977000000,,,1,352000,2586,147,,0,51000,0,0,0,88533000000,271,000,2875,1,0,327,0,,0,1,1,,671254,0,1,1,37
Liberia,150000,0,99,0,0,0,2392390440,579,0,364800000,0,830923000,0,1913912352,599660000,0,0,0,2499000,111369,4821,0,0,4000,0,4,0,8884000000,429,000,10600,0,0,1667,0,0,0,0,0,4,5437249,0,0,0,0
Montenegro,235004,0,5,11,11,0,143964240,294,0,148100000,0,2958500000,11,85179142,1574000000,0,0,11,286000,13812,18,0,0,8000,0,4,0,17115000000,250,000,7762,11,0,680,0,0,0,11,11,14,599849,12,11,11,0
Benin,475000,0,10,5,5,0,5584880380,121,0,98350000,0,4066500000,5,3189260217,698900000,0,0,5,4964000,112622,6,0,0,46000,0,1,8000000,52510000000,438,000,16000,5,0,2123,0,0,0,5,5,2,14697052,16,5,5,150
Somalia,1500001,0,38,0,0,0,2993973230,3025,0,171002350,0,5830000000,0,1796384138,16747500,0,0,0,3277000,637657,4,0,0,6000,0,6,0,26351000000,0,000,15000,0,0,2385,0,0,0,0,0,10,13017273,0,0,0,0
Suriname,200003,0,55,3,3,0,142287220,386,0,144000000,0,2200000000,3,84079130,1346000000,0,0,3,250000,163820,13,0,7109000,15000,14000,4,89000000,11824000000,0,000,4304,3,0,1907,0,0,0,3,3,17,646758,0,3,3,1200
Sierra Leone,1300001,0,8,1,1,0,2006631220,402,0,228600000,0,2687000000,1,1203978132,495699000,0,0,1,2913000,71740,584,0,0,9000,0,3,0,14633000000,0,000,11701,1,0,1093,0,0,0,1,1,7,9121049,0,1,1,800
Central African Republic,1000002,,43,6,6,0,2203873390,,,45990000,,666293000,6,1254512222,374405000,,,6,2114000,622984,0,,0,2000,0,0,0,5849000000,0,000,24000,6,0,5920,0,,0,6,6,,5650957,0,6,6,2800
Afghanistan,000,,67,9,9,1,15647405390,,,290000000,,1142500000,9,8826741220,8852092000,,,9,8921000,652230,0,,80200000,2700,0,0,0,54772700000,0,000,34903,9,0,5987,0,,0,9,9,,40121552,0,9,9,1200
