Country Name,Active Personnel,Aircraft Carriers,Airports,Armored Vehicles,Attack Aircraft,Attack Helicopters,Available Manpower,Coastline (km),Corvettes,Defense Budget (USD),Destroyers,External Debt (USD),Fighter Aircraft,Fit for Service,Foreign Exchange Reserves (USD),Frigates,Helicopter Carriers,Helicopters,Labor Force,Land Area (sq km),Merchant Marine Fleet,Mine Warfare,Natural Gas Production,Oil Consumption (bbl/day),Oil Production (bbl/day),Ports,Proven Oil Reserves (bbl),Purchasing Power Parity (USD),Railway Coverage (km),Reserve Personnel,Roadway Coverage (km),Rocket Projectors,Self-Propelled Artillery,Shared Borders (km),Special Mission Aircraft,Submarines,Tanker Aircraft,Tanks,Total Aircraft,Total Naval Assets,Total Population,Towed Artillery,Trainer Aircraft,Transport Aircraft,Waterways (km),Power Index Score,Aircraft Carriers_per_capita,Attack Aircraft_per_capita,Attack Helicopters_per_capita,Fighter Aircraft_per_capita,Helicopter Carriers_per_capita,Helicopters_per_capita,Special Mission Aircraft_per_capita,Tanker Aircraft_per_capita,Tanks_per_capita,Total Aircraft_per_capita,Trainer Aircraft_per_capita,Transport Aircraft_per_capita,Equipment_Total,Personnel_Total,Military_Spending_per_Capita,Region,ISO Code,Latitude,Longitude,Power Tier
Singapore,5100008.0,0.0,9.0,230.0,230,18,3918498650.0,193.0,6.0,15000000000.0,0.0,1713410600000.0,230,2628408436.0,359835000000.0,6.0,0.0,230,3619000.0,719.0,3202.0,4.0,0.0,1470000.0,0.0,5.0,0.0,754758000000.0,0.0,25250042.0,3500.0,230.0,48,,9,6.0,11,230,230,50.0,6028459.0,89,230,230,0.0,1.3137151420720867,0.0,3.815236395364653e-05,2.9858371789810334e-06,3.815236395364653e-05,0.0,3.815236395364653e-05,1.4929185894905167e-06,1.8246782760439649e-06,3.815236395364653e-05,3.815236395364653e-05,3.815236395364653e-05,3.815236395364653e-05,1654.0,30350050.0,2488.1976491508613,Other,OTH,0.0,0.0,Regional Power
Mexico,41200003.0,0.0,1485.0,433.0,433,0,61447766470.0,9330.0,3.0,7600000000.0,5.0,371359000000.0,433,49811912381.0,214317000000.0,1.0,0.0,433,60042000.0,1964375.0,674.0,0.0,31422000000.0,1737000.0,2101000.0,35.0,5786000000.0,2873000000000.0,23389.0,9865501.0,704884.0,433.0,20,4389.0,25,0.0,0,433,433,167.0,130739927.0,70,433,433,2900.0,2.4212623846582115,0.0,3.311918605309313e-06,0.0,3.311918605309313e-06,0.0,3.311918605309313e-06,1.912193190132398e-07,0.0,3.311918605309313e-06,3.311918605309313e-06,3.311918605309313e-06,3.311918605309313e-06,3056.0,51065504.0,58.13067298002489,Other,OTH,0.0,0.0,Regional Power
Netherlands,4138002.0,0.0,45.0,120.0,120,12,7997570450.0,451.0,0.0,27000000000.0,0.0,4779954300000.0,120,6486918365.0,69830000000.0,6.0,0.0,120,9999000.0,41543.0,1187.0,4.0,17774000000.0,872000.0,70000.0,18.0,137747000.0,1240000000000.0,3055.0,676500.0,139124.0,120.0,46,1053.0,0,3.0,0,120,120,64.0,17772378.0,0,120,120,6237.0,1.1508108189355335,0.0,6.752050471127135e-06,6.752050471127135e-07,6.752050471127135e-06,0.0,6.752050471127135e-06,0.0,0.0,6.752050471127135e-06,6.752050471127135e-06,6.752050471127135e-06,6.752050471127135e-06,855.0,4814502.0,1519.2113560036053,Other,OTH,0.0,0.0,Regional Power
Philippines,15000001.0,0.0,246.0,202.0,202,2,50859137430.0,36289.0,1.0,4380000000.0,0.0,90200000000.0,202,41751803353.0,103742000000.0,2.0,0.0,202,49477000.0,300000.0,2203.0,0.0,2251000000.0,453000.0,10000.0,70.0,138500000.0,1138000000000.0,77.0,120000010.0,216387.0,202.0,12,,8,0.0,0,202,202,113.0,118277063.0,294,202,202,3219.0,1.5597680548187236,0.0,1.707854364731272e-06,1.6909449155755168e-08,1.707854364731272e-06,0.0,1.707854364731272e-06,6.763779662302067e-08,0.0,1.707854364731272e-06,1.707854364731272e-06,1.707854364731272e-06,1.707854364731272e-06,1424.0,135000011.0,37.031693651103815,Other,OTH,0.0,0.0,Regional Power
South Africa,7123501.0,0.0,575.0,182.0,182,10,27803618460.0,2798.0,0.0,2266800000.0,0.0,58773000000.0,182,14989776248.0,62492000000.0,4.0,0.0,182,25158000.0,1219090.0,110.0,2.0,59128000.0,601000.0,95000.0,8.0,15000000.0,862981000000.0,20986.0,2935000.0,750000.0,182.0,49,5244.0,0,3.0,0,182,182,49.0,60442647.0,134,182,182,0.0,1.2117185187987825,0.0,3.0111189039897787e-06,1.6544609362581206e-07,3.0111189039897787e-06,0.0,3.0111189039897787e-06,0.0,0.0,3.0111189039897787e-06,3.0111189039897787e-06,3.0111189039897787e-06,3.0111189039897787e-06,1287.0,10058501.0,37.50332050309907,Other,OTH,0.0,0.0,Regional Power
Iraq,19300005.0,0.0,71.0,391.0,391,39,17675043420.0,58.0,2.0,7923000000.0,0.0,45032500000.0,391,14308368340.0,112233000000.0,0.0,0.0,391,11812000.0,438317.0,74.0,0.0,9860000000.0,918000.0,4437000.0,6.0,145019000000.0,572939000000.0,2272.0,0.0,59623.0,391.0,434,3809.0,17,0.0,0,391,391,68.0,42083436.0,610,391,391,5279.0,1.8786260163470432,0.0,9.29106622161113e-06,9.2673039039088e-07,9.29106622161113e-06,0.0,9.29106622161113e-06,4.039594009396143e-07,0.0,9.29106622161113e-06,9.29106622161113e-06,9.29106622161113e-06,9.29106622161113e-06,2793.0,19300005.0,188.2688431555626,Other,OTH,0.0,0.0,Regional Power
United Arab Emirates,6500006.0,0.0,42.0,551.0,551,30,5818684580.0,1318.0,11.0,2212360382.0,0.0,264000000000.0,551,4945881493.0,189491000000.0,0.0,0.0,551,6668000.0,83600.0,655.0,2.0,56683000000.0,939000.0,4146000.0,20.0,97800000000.0,719733000000.0,0.0,13000013.0,4080.0,551.0,165,1066.0,27,0.0,4,551,551,181.0,10032213.0,99,551,551,0.0,1.853921490981261,0.0,5.492307081966154e-05,2.990366832286472e-06,5.492307081966154e-05,0.0,5.492307081966154e-05,2.691330149057825e-06,3.987155776381963e-07,5.492307081966154e-05,5.492307081966154e-05,5.492307081966154e-05,5.492307081966154e-05,3918.0,19500019.0,220.52563691324767,Other,OTH,0.0,0.0,Regional Power
Sweden,2440002.0,0.0,203.0,169.0,169,0,4235934400.0,3218.0,7.0,13000000000.0,0.0,1002448700000.0,169,3558185336.0,60863000000.0,0.0,0.0,169,5825000.0,450295.0,361.0,8.0,0.0,283000.0,11000.0,92.0,0.0,676353000000.0,10910.0,3290003.0,573134.0,169.0,26,2211.0,5,4.0,1,169,169,308.0,10589835.0,0,169,169,2052.0,1.465794148105992,0.0,1.5958698510534064e-05,0.0,1.5958698510534064e-05,0.0,1.5958698510534064e-05,4.72150843506925e-07,9.4430168701385e-08,1.5958698510534064e-05,1.5958698510534064e-05,1.5958698510534064e-05,1.5958698510534064e-05,1193.0,5730005.0,1227.5921931180048,Other,OTH,0.0,0.0,Regional Power
Switzerland,10158411.0,,62.0,146.0,146,0,3898653440.0,,,25039000000.0,,2200000000000.0,146,3163225357.0,863892000000.0,,,146,4991000.0,41277.0,17.0,,0.0,193000.0,300.0,0.0,0.0,733779000000.0,5296.0,4971506.0,71557.0,146.0,133,1770.0,3,,0,146,146,,8860574.0,0,146,146,1292.0,0.7457186317306082,,1.6477485941939433e-05,0.0,1.6477485941939433e-05,,1.6477485941939433e-05,3.385784782590295e-07,0.0,1.6477485941939433e-05,1.6477485941939433e-05,1.6477485941939433e-05,1.6477485941939433e-05,1025.0,15129917.0,2825.8888390426127,Other,OTH,0.0,0.0,Regional Power
Romania,8130004.0,0.0,82.0,140.0,140,0,9437041520.0,225.0,7.0,9700000000.0,0.0,132000000000.0,140,7731114426.0,73000000000.0,3.0,0.0,140,8282000.0,238391.0,127.0,5.0,9501000000.0,221000.0,67000.0,11.0,600000000.0,772107000000.0,10628.0,5500003.0,84185.0,140.0,0,2844.0,2,0.0,0,140,140,20.0,18148155.0,720,140,140,1731.0,0.8815463410637107,0.0,7.71428237667783e-06,0.0,7.71428237667783e-06,0.0,7.71428237667783e-06,1.1020403395254043e-07,0.0,7.71428237667783e-06,7.71428237667783e-06,7.71428237667783e-06,7.71428237667783e-06,982.0,13630007.0,534.489564669821,Other,OTH,0.0,0.0,Regional Power
Norway,2325004.0,0.0,145.0,97.0,97,0,2203893400.0,25148.0,6.0,9710000000.0,0.0,716144000000.0,97,1807192328.0,80459000000.0,4.0,0.0,97,3009000.0,323802.0,1720.0,5.0,123727000000.0,229000.0,2020000.0,141.0,8122200000.0,499528000000.0,3848.0,0.0,94902.0,97.0,42,2566.0,5,6.0,0,97,97,43.0,5509733.0,0,97,97,1577.0,1.5150482658949729,0.0,1.7605205623356773e-05,0.0,1.7605205623356773e-05,0.0,1.7605205623356773e-05,9.074848259462254e-07,0.0,1.7605205623356773e-05,1.7605205623356773e-05,1.7605205623356773e-05,1.7605205623356773e-05,690.0,2325004.0,1762.3355319875695,Other,OTH,0.0,0.0,Regional Power
Czechia,2800003.0,,243.0,99.0,99,4,5093808470.0,,,6750000000.0,,211200000000.0,99,4129236381.0,148379000000.0,,,99,5502000.0,78867.0,0.0,,224725000.0,211000.0,4000.0,0.0,15000000.0,519007000000.0,9548.0,420000.0,55744.0,99.0,50,2046.0,2,,0,99,99,,10837890.0,0,99,99,664.0,0.3712269380720838,,9.134618534177913e-06,3.690754963304208e-07,9.134618534177913e-06,,9.134618534177913e-06,1.845377481652104e-07,0.0,9.134618534177913e-06,9.134618534177913e-06,9.134618534177913e-06,9.134618534177913e-06,699.0,3220003.0,622.814900057585,Other,OTH,0.0,0.0,Developing
Portugal,2400002.0,0.0,136.0,115.0,115,0,5319863500.0,1793.0,2.0,4627000000.0,0.0,399395000000.0,115,4096295385.0,53710000000.0,5.0,0.0,115,5140900.0,92090.0,996.0,0.0,0.0,191000.0,12932.0,18.0,22440000.0,529901000000.0,3622.0,21170020.0,136635.0,115.0,24,1224.0,14,2.0,3,115,115,194.0,10639726.0,115,115,115,764.0,0.896643353499342,0.0,1.0808548001278604e-05,0.0,1.0808548001278604e-05,0.0,1.0808548001278604e-05,1.315823234938265e-06,2.8196212177248535e-07,1.0808548001278604e-05,1.0808548001278604e-05,1.0808548001278604e-05,1.0808548001278604e-05,824.0,23570022.0,434.8795791470965,Other,OTH,0.0,0.0,Developing
Bangladesh,16300001.0,0.0,17.0,214.0,214,0,82661620490.0,580.0,6.0,4374000000.0,0.0,51965000000.0,214,66129296392.0,21860000000.0,7.0,0.0,214,74914000.0,148460.0,558.0,5.0,24620000000.0,160000.0,13000.0,2.0,28000000.0,1413000000000.0,2460.0,0.0,369105.0,214.0,56,4413.0,4,2.0,0,214,214,118.0,168697184.0,546,214,214,8370.0,1.7407014685490567,0.0,1.2685451745979044e-06,0.0,1.2685451745979044e-06,0.0,1.2685451745979044e-06,2.3711124758839337e-08,0.0,1.2685451745979044e-06,1.2685451745979044e-06,1.2685451745979044e-06,1.2685451745979044e-06,1504.0,16300001.0,25.92811492379081,Other,OTH,0.0,0.0,Developing
Malaysia,11300003.0,0.0,102.0,135.0,135,0,16245461470.0,4675.0,6.0,4800000000.0,0.0,247500000000.0,135,13480276390.0,113438000000.0,2.0,0.0,135,17308000.0,329847.0,1750.0,4.0,75456000000.0,717000.0,582000.0,35.0,3600000000.0,1152000000000.0,1851.0,5160001.0,144403.0,135.0,0,2742.0,6,2.0,4,135,135,100.0,34564810.0,196,135,135,7200.0,1.3480377311588585,0.0,3.905706297656307e-06,0.0,3.905706297656307e-06,0.0,3.905706297656307e-06,1.7358694656250253e-07,1.1572463104166837e-07,3.905706297656307e-06,3.905706297656307e-06,3.905706297656307e-06,3.905706297656307e-06,957.0,16460004.0,138.86955725000203,Other,OTH,0.0,0.0,Developing
Finland,2400004.0,0.0,98.0,163.0,163,0,2306830410.0,1250.0,0.0,6779661000.0,0.0,660000000000.0,163,1912981340.0,16929000000.0,0.0,0.0,163,2880000.0,338145.0,282.0,18.0,0.0,175000.0,8000.0,37.0,0.0,321126000000.0,5918.0,870000155.0,454000.0,163.0,107,2563.0,1,0.0,0,163,163,264.0,5626414.0,667,163,163,8000.0,2.4165852507593377,0.0,2.8970490090048455e-05,0.0,2.8970490090048455e-05,0.0,2.8970490090048455e-05,1.777330680371071e-07,0.0,2.8970490090048455e-05,2.8970490090048455e-05,2.8970490090048455e-05,2.8970490090048455e-05,1142.0,872400159.0,1204.9699497815216,Other,OTH,0.0,0.0,Developing
Myanmar,15000003.0,0.0,73.0,317.0,317,9,30489384530.0,1930.0,3.0,2948000000.0,0.0,7253400000.0,317,21975367382.0,8590400000.0,6.0,0.0,317,22884000.0,676578.0,101.0,2.0,16780000000.0,148000.0,7000.0,7.0,139000000.0,290507000000.0,5031.0,2000000.0,157000.0,317.0,95,6522.0,5,3.0,0,317,317,232.0,57527139.0,210,317,317,12800.0,1.6190827172262865,0.0,5.510442549377563e-06,1.5644789572365324e-07,5.510442549377563e-06,0.0,5.510442549377563e-06,8.691549762425179e-08,0.0,5.510442549377563e-06,5.510442549377563e-06,5.510442549377563e-06,5.510442549377563e-06,2236.0,17000003.0,51.24537739925886,Other,OTH,0.0,0.0,Developing
Belgium,2500002.0,0.0,49.0,108.0,108,0,4910830410.0,67.0,0.0,10200000000.0,0.0,1449264300000.0,108,3880753324.0,40813000000.0,2.0,0.0,108,5432000.0,30528.0,198.0,5.0,13436000.0,585000.0,11000.0,7.0,0.0,751592000000.0,3602.0,640001.0,118414.0,108.0,0,1297.0,0,0.0,0,108,108,9.0,11977634.0,0,108,108,2043.0,0.5540367588642943,0.0,9.016805070450051e-06,0.0,9.016805070450051e-06,0.0,9.016805070450051e-06,0.0,0.0,9.016805070450051e-06,9.016805070450051e-06,9.016805070450051e-06,9.016805070450051e-06,756.0,3140003.0,851.5871455425048,Other,OTH,0.0,0.0,Developing
Morocco,19580005.0,0.0,49.0,260.0,260,0,17946041480.0,1835.0,1.0,13400000000.0,0.0,45645000000.0,260,15254135408.0,36328000000.0,6.0,0.0,260,12284000.0,715550.0,94.0,0.0,82595000.0,318000.0,25.0,12.0,684000.0,337480000000.0,2067.0,15000004.0,57300.0,260.0,396,2363.0,4,0.0,2,260,260,111.0,37387585.0,153,260,260,0.0,1.0241233569468489,0.0,6.954179924855272e-06,0.0,6.954179924855272e-06,0.0,6.954179924855272e-06,1.0698738345931186e-07,5.349369172965593e-08,6.954179924855272e-06,6.954179924855272e-06,6.954179924855272e-06,6.954179924855272e-06,1826.0,34580009.0,358.4077345886948,Other,OTH,0.0,0.0,Developing
Colombia,29320006.0,0.0,662.0,436.0,436,0,24298295490.0,3208.0,2.0,10541500000.0,0.0,116779500000.0,436,19190694387.0,59041000000.0,7.0,0.0,436,26003000.0,1138910.0,153.0,0.0,11290000000.0,320000.0,800000.0,14.0,2036000000.0,978024000000.0,2141.0,3500001.0,205379.0,436.0,6,6672.0,23,4.0,1,436,436,233.0,49588357.0,110,436,436,24725.0,2.037321717700158,0.0,8.792386309706e-06,0.0,8.792386309706e-06,0.0,8.792386309706e-06,4.638185438606376e-07,2.016602364611468e-08,8.792386309706e-06,8.792386309706e-06,8.792386309706e-06,8.792386309706e-06,3080.0,32820007.0,212.5801382655179,Other,OTH,0.0,0.0,Developing
Peru,12000004.0,0.0,166.0,256.0,256,16,15648120480.0,2414.0,8.0,3420000000.0,0.0,59400000000.0,256,12681497389.0,71394000000.0,7.0,0.0,256,18529000.0,1285216.0,111.0,0.0,12270000000.0,210000.0,118000.0,20.0,858890000.0,517644000000.0,1855.0,38500012.0,18699.0,256.0,12,7062.0,12,4.0,0,256,256,71.0,32600249.0,290,256,256,8808.0,1.4494097449844685,0.0,7.852700516100336e-06,4.90793782256271e-07,7.852700516100336e-06,0.0,7.852700516100336e-06,3.680953366922033e-07,0.0,7.852700516100336e-06,7.852700516100336e-06,7.852700516100336e-06,7.852700516100336e-06,1824.0,50500016.0,104.90717095727794,Other,OTH,0.0,0.0,Developing
Denmark,2000003.0,0.0,99.0,117.0,117,0,2628180440.0,7314.0,0.0,7225466250.0,0.0,555500000000.0,117,2126436356.0,109371000000.0,9.0,0.0,117,3180000.0,43094.0,715.0,6.0,1879000000.0,152000.0,63000.0,69.0,441000000.0,428385000000.0,2682.0,1200002.0,74558.0,117.0,19,140.0,3,0.0,0,117,117,50.0,5973136.0,0,117,117,400.0,0.8258133475865854,0.0,1.9587697385812517e-05,0.0,1.9587697385812517e-05,0.0,1.9587697385812517e-05,5.022486509182696e-07,0.0,1.9587697385812517e-05,1.9587697385812517e-05,1.9587697385812517e-05,1.9587697385812517e-05,822.0,3200005.0,1209.6602254393297,Other,OTH,0.0,0.0,Developing
Ethiopia,16200001.0,,57.0,103.0,103,7,56904143480.0,,,2097575000.0,,25761000000.0,103,35327989298.0,3131288000.0,,,103,61664000.0,1104300.0,12.0,,0.0,110000.0,0.0,0.0,428000.0,354604000000.0,659.0,0.0,120171.0,103.0,35,5925.0,0,,0,103,103,,118550298.0,309,103,103,0.0,0.8672197284596265,,8.688295252633652e-07,5.904666676547142e-08,8.688295252633652e-07,,8.688295252633652e-07,0.0,0.0,8.688295252633652e-07,8.688295252633652e-07,8.688295252633652e-07,8.688295252633652e-07,728.0,16200001.0,17.693544577226245,Other,OTH,0.0,0.0,Developing
Chile,8000004.0,0.0,374.0,277.0,277,0,8959033480.0,6435.0,0.0,5032500000.0,0.0,214500000000.0,277,7521855403.0,46377000000.0,8.0,0.0,277,9848000.0,756102.0,249.0,0.0,1200000000.0,405000.0,11000.0,39.0,150000000.0,579201000000.0,7282.0,4000002.0,77801.0,277.0,48,7801.0,21,4.0,5,277,277,130.0,18664652.0,249,277,277,12290.0,1.510700100927563,0.0,1.4840886674935772e-05,0.0,1.4840886674935772e-05,0.0,1.4840886674935772e-05,1.125121372468055e-06,2.678860410638226e-07,1.4840886674935772e-05,1.4840886674935772e-05,1.4840886674935772e-05,1.4840886674935772e-05,1969.0,12000006.0,269.62730033073746,Other,OTH,0.0,0.0,Developing
Serbia,2500004.0,,43.0,110.0,110,4,3259584490.0,,,2287461000.0,,35200000000.0,110,2574406387.0,27569000000.0,,,110,3333000.0,77474.0,0.0,,353376000.0,82000.0,13000.0,0.0,77500000.0,162213000000.0,3333.0,200000.0,44248.0,110.0,90,2322.0,0,,0,110,110,,6652212.0,150,110,110,587.0,0.2997518221222329,,1.6535850550786632e-05,6.013036563922412e-07,1.6535850550786632e-05,,1.6535850550786632e-05,0.0,0.0,1.6535850550786632e-05,1.6535850550786632e-05,1.6535850550786632e-05,1.6535850550786632e-05,774.0,2700004.0,343.8646657886631,Other,OTH,0.0,0.0,Developing
Hungary,4160004.0,,109.0,69.0,69,8,4632200470.0,,,4576000000.0,,137500000000.0,69,3794462385.0,45719000000.0,,,69,5006000.0,103000.0,1.0,,1523000000.0,175000.0,36000.0,0.0,12100000.0,388906000000.0,7687.0,2000002.0,203601.0,69.0,24,2106.0,0,,0,69,69,,9855745.0,295,69,69,1622.0,0.3696977740306745,,7.000992111606772e-06,8.1170923033122e-07,7.000992111606772e-06,,7.000992111606772e-06,0.0,0.0,7.000992111606772e-06,7.000992111606772e-06,7.000992111606772e-06,7.000992111606772e-06,491.0,6160006.0,464.2976797494578,Other,OTH,0.0,0.0,Developing
Austria,1600002.0,,61.0,85.0,85,0,4035592450.0,,,5475750000.0,,630000000000.0,85,3632033405.0,31212000000.0,,,85,4825000.0,83871.0,1.0,,618209000.0,245000.0,18000.0,0.0,35200000.0,590354000000.0,6123.0,12560014.0,137039.0,85.0,30,2524.0,0,,0,85,85,,8967982.0,0,85,85,358.0,0.3506659275202186,,9.478162480905684e-06,0.0,9.478162480905684e-06,,9.478162480905684e-06,0.0,0.0,9.478162480905684e-06,9.478162480905684e-06,9.478162480905684e-06,9.478162480905684e-06,595.0,14160016.0,610.5888024096388,Other,OTH,0.0,0.0,Developing
Angola,10700003.0,0.0,106.0,298.0,298,15,7440412200.0,1600.0,0.0,1101360000.0,0.0,45774500000.0,298,3720206100.0,13942000000.0,0.0,0.0,298,15223000.0,1246700.0,64.0,0.0,5514000000.0,127000.0,1175000.0,21.0,7783000000.0,265868000000.0,2761.0,0.0,26000.0,298.0,25,5369.0,2,0.0,0,298,298,31.0,37202061.0,575,298,298,1300.0,0.9482763341255144,0.0,8.010308675900815e-06,4.03203456840645e-07,8.010308675900815e-06,0.0,8.010308675900815e-06,5.376046091208601e-08,0.0,8.010308675900815e-06,8.010308675900815e-06,8.010308675900815e-06,8.010308675900815e-06,2103.0,10700003.0,29.60481061506752,Other,OTH,0.0,0.0,Developing
Nigeria,23000001.0,0.0,47.0,163.0,163,15,125475979530.0,853.0,0.0,3160000000.0,0.0,32455500000.0,163,90437404382.0,41349000000.0,1.0,0.0,163,75721000.0,923768.0,928.0,2.0,39951000000.0,515000.0,1541000.0,28.0,36890000000.0,1275000000000.0,3798.0,0.0,195000.0,163.0,40,4477.0,11,0.0,0,163,163,133.0,236747130.0,339,163,163,8600.0,1.94263100862128,0.0,6.884983117282211e-07,6.335874034308785e-08,6.884983117282211e-07,0.0,6.884983117282211e-07,4.646307625159775e-08,0.0,6.884983117282211e-07,6.884983117282211e-07,6.884983117282211e-07,6.884983117282211e-07,1167.0,23000001.0,13.347574632277173,Other,OTH,0.0,0.0,Developing
Venezuela,10900003.0,0.0,502.0,229.0,229,10,15625153500.0,2800.0,0.0,4093120000.0,0.0,110330000000.0,229,12812625410.0,10095500000.0,1.0,0.0,229,11548000.0,912050.0,272.0,0.0,17696000000.0,367000.0,761000.0,31.0,303806000000.0,295974800000.0,447.0,800000.0,96189.0,229.0,48,5267.0,3,1.0,1,229,229,34.0,31250306.0,100,229,229,7100.0,1.9885225510674955,0.0,7.327928010435225e-06,3.199968563508832e-07,7.327928010435225e-06,0.0,7.327928010435225e-06,9.599905690526497e-08,3.199968563508832e-08,7.327928010435225e-06,7.327928010435225e-06,7.327928010435225e-06,7.327928010435225e-06,1618.0,11700003.0,130.9785532666927,Other,OTH,0.0,0.0,Developing
Slovakia,1950004.0,,114.0,41.0,41,0,2837461510.0,,,2656000000.0,,127600000000.0,41,2353424423.0,11288000000.0,,,41,2823000.0,49035.0,0.0,,52556000.0,94000.0,7000.0,0.0,9000000.0,213053000000.0,3627.0,0.0,56926.0,41.0,35,1587.0,1,,0,41,41,,5563649.0,9,41,41,172.0,0.1874126505931776,,7.369262983832556e-06,0.0,7.369262983832556e-06,,7.369262983832556e-06,1.797381215568916e-07,0.0,7.369262983832556e-06,7.369262983832556e-06,7.369262983832556e-06,7.369262983832556e-06,288.0,1950004.0,477.3844508551041,Other,OTH,0.0,0.0,Developing
Cuba,4550004.0,0.0,123.0,31.0,31,4,5921661540.0,3735.0,1.0,4508784000.0,0.0,33066000000.0,31,4737328432.0,10442000000.0,1.0,0.0,31,5317000.0,110860.0,65.0,4.0,659434000.0,165000.0,34000.0,34.0,124000000.0,141400000000.0,8367.0,4000004.0,60000.0,31.0,60,29.0,0,0.0,0,31,31,19.0,10966038.0,130,31,31,240.0,0.4037888318103644,0.0,2.826909515824264e-06,3.647625181708728e-07,2.826909515824264e-06,0.0,2.826909515824264e-06,0.0,0.0,2.826909515824264e-06,2.826909515824264e-06,2.826909515824264e-06,2.826909515824264e-06,221.0,8550008.0,411.1588514321352,Other,OTH,0.0,0.0,Developing
Azerbaijan,12640012.0,0.0,32.0,154.0,154,16,5218617490.0,713.0,0.0,5000000000.0,0.0,16159500000.0,154,3908638367.0,13749000000.0,0.0,0.0,154,5473000.0,86600.0,312.0,4.0,34175000000.0,105000.0,618000.0,0.0,7000000000.0,215896000000.0,2944.0,30000028.0,24981.0,154.0,198,2468.0,0,4.0,0,154,154,38.0,10650239.0,650,154,154,0.0,0.8189354060704915,0.0,1.445976804278589e-05,1.5023135628868457e-06,1.445976804278589e-05,0.0,1.445976804278589e-05,0.0,0.0,1.445976804278589e-05,1.445976804278589e-05,1.445976804278589e-05,1.445976804278589e-05,1098.0,42640040.0,469.4729884021393,Other,OTH,0.0,0.0,Developing
Kazakhstan,11000005.0,0.0,132.0,198.0,198,12,9117003450.0,26.0,0.0,2048700000.0,0.0,91321500000.0,198,6928922342.0,35965000000.0,0.0,0.0,198,9587000.0,2724900.0,122.0,2.0,27011000000.0,288000.0,1955000.0,0.0,30000000000.0,705520000000.0,16636.0,13500007.0,96167.0,198.0,126,13364.0,0,0.0,0,198,198,26.0,20260006.0,194,198,198,43983.0,1.937259028039796,0.0,9.772948252189646e-06,5.922998940720997e-07,9.772948252189646e-06,0.0,9.772948252189646e-06,0.0,0.0,9.772948252189646e-06,9.772948252189646e-06,9.772948252189646e-06,9.772948252189646e-06,1398.0,24500012.0,101.12039941545925,Other,OTH,0.0,0.0,Developing
Ecuador,4125002.0,0.0,310.0,102.0,102,0,8422593460.0,2237.0,6.0,2376000000.0,0.0,44898000000.0,102,6738074368.0,4442000000.0,2.0,0.0,102,8893000.0,283560.0,154.0,0.0,309778000.0,225000.0,480000.0,6.0,8273000000.0,260213000000.0,965.0,11800006.0,43950.0,102.0,5,2237.0,8,2.0,0,102,102,30.0,18309984.0,106,102,102,1500.0,0.624882976888151,0.0,5.570730942706944e-06,0.0,5.570730942706944e-06,0.0,5.570730942706944e-06,4.369200739377995e-07,0.0,5.570730942706944e-06,5.570730942706944e-06,5.570730942706944e-06,5.570730942706944e-06,724.0,15925008.0,129.76526195952644,Other,OTH,0.0,0.0,Developing
Sudan,9200002.0,0.0,41.0,165.0,165,35,26747657530.0,853.0,0.0,342000000.0,0.0,37846000000.0,165,17108407339.0,206763700.0,0.0,0.0,165,13590000.0,1861484.0,14.0,0.0,0.0,127000.0,68000.0,4.0,1250000000.0,136039000000.0,7251.0,8500002.0,31000.0,165.0,100,6819.0,0,0.0,0,165,165,6.0,50467278.0,287,165,165,4068.0,0.8940470451021945,0.0,3.26944513889881e-06,6.935186658270203e-07,3.26944513889881e-06,0.0,3.26944513889881e-06,0.0,0.0,3.26944513889881e-06,3.26944513889881e-06,3.26944513889881e-06,3.26944513889881e-06,1190.0,17700004.0,6.7766681060811695,Other,OTH,0.0,0.0,Developing
Croatia,1432503.0,0.0,40.0,67.0,67,0,2033557490.0,5835.0,0.0,1176000000.0,0.0,55000000000.0,67,1564594377.0,3176000000.0,0.0,0.0,67,1744000.0,56594.0,384.0,1.0,741456000.0,70000.0,11000.0,16.0,71000000.0,159305000000.0,2617.0,2010005.0,26958.0,67.0,25,2237.0,0,0.0,0,67,67,30.0,4150116.0,42,67,67,4714.0,0.40003011673736,0.0,1.6144123165684245e-05,0.0,1.6144123165684245e-05,0.0,1.6144123165684245e-05,0.0,0.0,1.6144123165684245e-05,1.6144123165684245e-05,1.6144123165684245e-05,1.6144123165684245e-05,469.0,3442508.0,283.36550511708464,Other,OTH,0.0,0.0,Developing
Oman,4260011.0,0.0,36.0,128.0,128,0,1482757380.0,2092.0,5.0,8200000000.0,0.0,50897000000.0,128,1291559331.0,17455000000.0,0.0,0.0,128,2316000.0,309500.0,57.0,0.0,40754000000.0,211000.0,1056000.0,7.0,5375000000.0,185960000000.0,0.0,10000026.0,60230.0,128.0,24,1561.0,4,0.0,0,128,128,22.0,3901992.0,140,128,128,0.0,0.5099314790995016,0.0,3.2803749263517384e-05,0.0,3.2803749263517384e-05,0.0,3.2803749263517384e-05,1.0251171644849185e-06,0.0,3.2803749263517384e-05,3.2803749263517384e-05,3.2803749263517384e-05,3.2803749263517384e-05,900.0,14260037.0,2101.4901871940824,Other,OTH,0.0,0.0,Developing
