Country Name,Active Personnel,Aircraft Carriers,Airports,Armored Vehicles,Attack Aircraft,Attack Helicopters,Available Manpower,Coastline (km),Corvettes,Defense Budget (USD),Destroyers,External Debt (USD),Fighter Aircraft,Fit for Service,Foreign Exchange Reserves (USD),Frigates,Helicopter Carriers,Helicopters,Labor Force,Land Area (sq km),Merchant Marine Fleet,Mine Warfare,Natural Gas Production,Oil Consumption (bbl/day),Oil Production (bbl/day),Ports,Proven Oil Reserves (bbl),Purchasing Power Parity (USD),Railway Coverage (km),Reserve Personnel,Roadway Coverage (km),Rocket Projectors,Self-Propelled Artillery,Shared Borders (km),Special Mission Aircraft,Submarines,Tanker Aircraft,Tanks,Total Aircraft,Total Naval Assets,Total Population,Towed Artillery,Trainer Aircraft,Transport Aircraft,Waterways (km),Power Index Score,Aircraft Carriers_per_capita,Attack Aircraft_per_capita,Attack Helicopters_per_capita,Fighter Aircraft_per_capita,Helicopter Carriers_per_capita,Helicopters_per_capita,Special Mission Aircraft_per_capita,Tanker Aircraft_per_capita,Tanks_per_capita,Total Aircraft_per_capita,Trainer Aircraft_per_capita,Transport Aircraft_per_capita,Equipment_Total,Personnel_Total,Military_Spending_per_Capita,Region,ISO Code,Latitude,Longitude,Power Tier
France,20000003.0,1.0,689.0,976.0,976,68,30084820440.0,4853.0,0.0,55000000000.0,11.0,6992104900000.0,976,23794358348.0,240792000000.0,11.0,3.0,976,31825000.0,643801.0,553.0,17.0,20132000.0,1554000.0,80000.0,66.0,61719000.0,3764000000000.0,27860.0,2600000.0,1053215.0,976.0,96,4072.0,44,9.0,16,976,976,129.0,68374591.0,0,976,976,8501.0,3.936335024858634,1.4625315789818532e-08,1.427430821086289e-05,9.945214737076605e-07,1.427430821086289e-05,4.38759473694556e-08,1.427430821086289e-05,6.435138947520155e-07,2.3400505263709653e-07,1.427430821086289e-05,1.427430821086289e-05,1.427430821086289e-05,1.427430821086289e-05,6973.0,22600003.0,804.3923684400194,Europe,FRA,46.2276,2.2137,Major Power
Egypt,44000004.0,0.0,73.0,1093.0,1093,100,45611372410.0,2450.0,7.0,5879500000.0,0.0,103750000000.0,1093,38269053344.0,33070000000.0,13.0,2.0,1093,33431000.0,1001450.0,441.0,17.0,64817000000.0,851000.0,667000.0,31.0,3300000000.0,1912000000000.0,5085.0,48000004.0,65050.0,1093.0,1056,2612.0,11,8.0,0,1093,1093,150.0,111247248.0,962,1093,1093,3500.0,3.487586733820346,0.0,9.824962053668402e-06,8.988986325405673e-07,9.824962053668402e-06,1.7977972650811348e-08,9.824962053668402e-06,9.887884957946243e-08,0.0,9.824962053668402e-06,9.824962053668402e-06,9.824962053668402e-06,9.824962053668402e-06,7772.0,92000008.0,52.85074510022266,Africa,EGY,26.8206,30.8025,Major Power
Brazil,36000002.0,0.0,4919.0,513.0,513,0,112226271510.0,7491.0,2.0,26157300000.0,0.0,432224000000.0,513,88680759403.0,355021000000.0,6.0,1.0,513,108695000.0,8515770.0,888.0,3.0,22670000000.0,3027000.0,4221000.0,45.0,12715000000.0,4016000000000.0,29850.0,34000002.0,2000000.0,513.0,109,16145.0,25,4.0,0,513,513,64.0,220051512.0,412,513,513,50000.0,5.012397957931512,0.0,2.331272314405764e-06,0.0,2.331272314405764e-06,4.544390476424491e-09,2.331272314405764e-06,1.1360976191061228e-07,0.0,2.331272314405764e-06,2.331272314405764e-06,2.331272314405764e-06,2.331272314405764e-06,3621.0,70000004.0,118.86898500897831,South America,BRA,-14.235,-51.9253,Major Power
Indonesia,40000001.0,0.0,513.0,459.0,459,15,137965608490.0,54716.0,25.0,10600000000.0,0.0,440000000000.0,459,114595923407.0,146359000000.0,7.0,0.0,459,140931000.0,1904569.0,11422.0,12.0,57410000000.0,1728000.0,865000.0,123.0,2480000000.0,3906000000000.0,8159.0,40000001.0,496607.0,459.0,153,2958.0,17,4.0,1,459,459,331.0,281562465.0,396,459,459,21579.0,5.04286368553065,0.0,1.6301888760982793e-06,5.3274146277721554e-08,1.6301888760982793e-06,0.0,1.6301888760982793e-06,6.037736578141775e-08,3.5516097518481033e-09,1.6301888760982793e-06,1.6301888760982793e-06,1.6301888760982793e-06,1.6301888760982793e-06,3250.0,80000002.0,37.64706336958989,Asia,IDN,-0.7893,113.9213,Major Power
Germany,18160002.0,0.0,838.0,584.0,584,54,38694786460.0,2389.0,5.0,50000000000.0,0.0,6238609300000.0,584,30955829368.0,322700000000.0,11.0,0.0,584,44784000.0,357022.0,595.0,12.0,4824000000.0,2052000.0,131000.0,35.0,115200000.0,5230000000000.0,39379.0,3400000.0,830000.0,584.0,134,3694.0,26,6.0,3,584,584,61.0,84119100.0,0,584,584,7300.0,2.935491327413319,0.0,6.942537343569566e-06,6.419469461519804e-07,6.942537343569566e-06,0.0,6.942537343569566e-06,3.090855666657684e-07,3.5663719230665575e-08,6.942537343569566e-06,6.942537343569566e-06,6.942537343569566e-06,6.942537343569566e-06,4177.0,21560002.0,594.3953205110929,Europe,DEU,51.1657,10.4515,Major Power
Australia,5735002.0,0.0,2180.0,327.0,327,22,11242811420.0,25760.0,0.0,55700000000.0,3.0,3427504300000.0,327,9208398344.0,61703000000.0,7.0,2.0,327,14501000.0,7741220.0,604.0,3.0,153783000000.0,1123000.0,386000.0,66.0,2446000000.0,1584000000000.0,36064.0,3205001.0,873573.0,327.0,0,,30,6.0,6,327,327,44.0,26768598.0,48,327,327,2000.0,2.654377244485374,0.0,1.2215805541410666e-05,8.218584767921549e-07,1.2215805541410666e-05,7.471440698110498e-08,1.2215805541410666e-05,1.1207161047165747e-06,2.2414322094331497e-07,1.2215805541410666e-05,1.2215805541410666e-05,1.2215805541410666e-05,1.2215805541410666e-05,2355.0,8940003.0,2080.796234423774,Oceania,AUS,-25.2744,133.7751,Major Power
Israel,17000018.0,0.0,37.0,611.0,611,48,3949099420.0,273.0,7.0,30500000000.0,0.0,148500000000.0,611,3281513349.0,204661000000.0,0.0,0.0,611,4554000.0,21937.0,41.0,0.0,22886000000.0,230000.0,15000.0,5.0,12730000.0,471030000000.0,1497.0,46500049.0,20391.0,611.0,352,1068.0,19,5.0,14,611,611,62.0,9402617.0,171,611,611,0.0,1.2250225032537363,0.0,6.498190184903822e-05,5.104961192723133e-06,6.498190184903822e-05,0.0,6.498190184903822e-05,2.020713805452907e-06,1.4889470145442472e-06,6.498190184903822e-05,6.498190184903822e-05,6.498190184903822e-05,6.498190184903822e-05,4363.0,63500067.0,3243.777424542824,Middle East,ISR,31.0461,34.8516,Regional Power
Ukraine,90000025.0,0.0,148.0,324.0,324,39,18187531510.0,2782.0,0.0,53700000000.0,0.0,132000000000.0,324,12731272357.0,40510000000.0,0.0,0.0,324,20312000.0,603550.0,410.0,3.0,18725000000.0,248000.0,3000.0,26.0,395000000.0,559981000000.0,21733.0,120000034.0,169694.0,324.0,658,5581.0,3,0.0,0,324,324,89.0,35661826.0,615,324,324,1672.0,1.9459995855763144,0.0,9.085344954424236e-06,1.0936063371066211e-06,9.085344954424236e-06,0.0,9.085344954424236e-06,8.412356439281702e-08,0.0,9.085344954424236e-06,9.085344954424236e-06,9.085344954424236e-06,9.085344954424236e-06,2310.0,210000059.0,1505.8118026314244,Other,OTH,0.0,0.0,Regional Power
Iran,61000007.0,0.0,173.0,551.0,551,13,49496685560.0,2440.0,3.0,15450000000.0,0.0,4134926000.0,551,41541860470.0,120600000000.0,7.0,0.0,551,29159000.0,1648195.0,965.0,1.0,263280000000.0,2136000.0,3985000.0,18.0,208600000000.0,1440000000000.0,8484.0,35000004.0,223485.0,551.0,392,5894.0,10,25.0,6,551,551,107.0,88386937.0,2070,551,551,850.0,3.904597367053497,0.0,6.233952804202811e-06,1.4708055617901369e-07,6.233952804202811e-06,0.0,6.233952804202811e-06,1.1313888936847209e-07,6.788333362108326e-08,6.233952804202811e-06,6.233952804202811e-06,6.233952804202811e-06,6.233952804202811e-06,3911.0,96000011.0,174.79958407428936,Middle East,IRN,32.4279,53.688,Regional Power
Spain,13328203.0,1.0,363.0,461.0,461,17,21748999460.0,4964.0,0.0,23397000000.0,0.0,2572738300000.0,461,17635602373.0,103089000000.0,11.0,0.0,461,24108000.0,505370.0,503.0,6.0,41009000.0,1269000.0,47000.0,52.0,150000000.0,2242000000000.0,15489.0,1515000.0,683175.0,461.0,95,1953.0,8,2.0,0,461,461,152.0,47280433.0,287,461,461,1000.0,2.013541758656668,2.1150398069527027e-08,9.75033351005196e-06,3.5955676718195946e-07,9.75033351005196e-06,0.0,9.75033351005196e-06,1.6920318455621624e-07,0.0,9.75033351005196e-06,9.75033351005196e-06,9.75033351005196e-06,9.75033351005196e-06,3255.0,14843203.0,494.8558636327239,Other,OTH,0.0,0.0,Regional Power
